Alternatives,Targets of primary energy saving in regional scale [TJ/year],Technical Maturity Relibility (1-5),Consistence of installation and maintenance requirements with local thechnical know-how,Continiuity and predictability of performances(1-3),Cost of saved promaru energy (Euro/MJ),Sustainability according to greenhouse pollutant emissions (gco2/MJ),Sustainability according to other pollutant emissions(1-4),Sustainability according to other enviromental impacts(1-5),Labour impact (engaged person/Mjyear),market maturity (1-5)
Impact,+,+,+,+,-,-,+,+,+,+
Domestic Solar Water Heater,0.449820788530466,1.0,1.0,0.3333333333333333,0.1764705882352941,0.9795918367346939,1.0,1.0,0.5970149253731343,1.0
Solar Water Heating For Large Demands At Low Tempratures,0.23261648745519714,0.75,1.0,0.3333333333333333,0.13636363636363638,0.7547169811320754,1.0,0.8,0.5970149253731343,1.0
PV Roofs: Grid Connected System Generating Electric Energy,0.6602150537634408,0.5,0.3333333333333333,0.3333333333333333,0.03896103896103896,1.0,1.0,0.8,1.0,0.4
Wind Turbins Grid,1.0,1.0,0.3333333333333333,0.3333333333333333,0.23076923076923078,1.0,1.0,0.6,0.11194029850746269,0.8
CHP plants fed by bio gas,0.37526881720430105,1.0,0.6666666666666666,1.0,0.10714285714285714,0.8602150537634409,0.25,0.2,0.07462686567164178,0.8
high efficiency wood boilers,0.3301075268817204,1.0,0.3333333333333333,1.0,1.0,0.7547169811320754,0.75,1.0,0.0,0.6
