Alternatives,Targets of primary energy saving in regional scale [TJ/year],Technical Maturity Relibility (1-5),Consistence of installation and maintenance requirements with local thechnical know-how,Continiuity and predictability of performances(1-3),Cost of saved promaru energy (Euro/MJ),Sustainability according to greenhouse pollutant emissions (gco2/MJ),Sustainability according to other pollutant emissions(1-4),Sustainability according to other enviromental impacts(1-5),Labour impact (engaged person/Mjyear),market maturity (1-5)
Impact,+,+,+,+,-,-,+,+,+,+
Domestic Solar Water Heater,1255,4,3,1,0.017,49,4,5,160,5
Solar Water Heating For Large Demands At Low Tempratures,649,3,3,1,0.022,63.6,4,4,160,5
PV Roofs: Grid Connected System Generating Electric Energy,1842,2,1,1,0.077,48,4,4,268,2
Wind Turbins Grid,2790,4,1,1,0.013,48,4,3,30,4
CHP plants fed by bio gas,1047,4,2,3,0.028,55.8,1,1,20,4
high efficiency wood boilers,921,4,1,3,0.003,63.6,3,5,0,3
